,"Country, Other",Total Cases,Total Deaths,Total Recovered,Active Cases,Serious / Critical Condition,Total Cases / 1M Population,Deaths / 1M Population,Total Tests,Tests / 1M Population,Population,CapitalLatitude,CapitalLongitude,ContinentName
0,USA,42634054,688486,32347726,9597842,25209,127897,2065,615684393,1846976,333347223,38.883333,-77,Central America
1,India,33381728,444278,32598424,339026,8944,23906,318,547701729,392229,1396383360,28.6,77.2,Asia
2,Brazil,21069017,589277,20173064,306676,8318,98277,2749,57095219,266322,214384223,-15.78333333,-47.916667,South America
3,UK,7339009,134805,5907029,1297175,1081,107426,1973,288664707,4225384,68316802,51.5,-0.083333,Europe
4,Russia,7214520,195835,6452398,566287,2300,49411,1341,185100000,1267721,146010102,55.75,37.6,Europe
5,France,6934732,115894,6595374,223464,2000,105958,1771,134787318,2059455,65448064,48.86666667,2.333333,Europe
6,Turkey,6767008,60903,6262690,443415,633,79207,713,81422835,953044,85434482,39.93333333,32.866667,Europe
7,Iran,5378408,116072,4682704,579632,6981,63060,1361,30123729,353191,85290152,35.7,51.416667,Asia
8,Argentina,5234851,114101,5087120,33630,1614,114557,2497,24252818,530737,45696487,-34.58333333,-58.666667,South America
9,Colombia,4936052,125782,4774661,35609,542,95776,2441,24920135,483534,51537524,4.6,-74.083333,South America
10,Spain,4926324,85739,4625052,215533,1058,105316,1833,63040355,1347688,46776669,40.4,-3.683333,Europe
11,Italy,4623155,130167,4376646,116342,531,76600,2157,88516407,1466612,60354334,41.9,12.483333,Europe
12,Indonesia,4181309,139919,3968152,73238,,15094,505,35557405,128359,277014855,-6.166666667,106.816667,Asia
13,Germany,4129138,93454,3873700,161984,1217,49093,1111,70379237,836776,84107665,52.51666667,13.4,Europe
14,Mexico,3549229,270346,2897667,381216,4798,27183,2071,10302152,78903,130567887,19.43333333,-99.133333,Central America
15,Poland,2895947,75464,2658636,161847,95,76619,1997,20373472,539031,37796497,52.25,21,Europe
16,South Africa,2873415,85779,2706293,81343,546,47722,1425,17236691,286272,60210991,-25.7,28.216667,Africa
17,Ukraine,2331540,54651,2226629,50260,177,53702,1259,12377327,285087,43415936,50.43333333,30.516667,Europe
18,Philippines,2304192,36018,2090228,177946,3170,20695,323,20047991,180060,111340780,14.6,120.966667,Asia
19,Peru,2164380,198891,,,1071,64558,5932,17377197,518321,33525950,-12.05,-77.05,South America
20,Malaysia,2049750,22355,1800278,227117,1234,62366,680,28070385,854076,32866366,3.166666667,101.7,Asia
21,Netherlands,1979114,18097,1888337,72680,205,115194,1053,16873290,982108,17180691,52.35,4.916667,Europe
22,Iraq,1967187,21683,1846158,99346,626,47620,525,14895398,360579,41309684,33.33333333,44.4,Asia
23,Czechia,1684881,30422,1649849,4610,29,156981,2834,37131801,3459595,10732992,,,
24,Japan,1657004,16959,1539958,100087,1743,13150,135,23638872,187598,126008257,35.68333333,139.75,Asia
25,Chile,1645820,37293,1602703,5824,463,85212,1931,21081270,1091483,19314333,-33.45,-70.666667,South America
26,Canada,1564089,27325,1493619,43145,638,41007,716,41861477,1097525,38141706,45.41666667,-75.7,Central America
27,Bangladesh,1538203,27109,1494090,17004,1432,9229,163,9363609,56181,166670080,23.71666667,90.4,Asia
28,Thailand,1448792,15124,1304247,129421,4387,20694,216,9201621,131430,70011638,13.75,100.516667,Asia
29,Pakistan,1218749,27072,1125952,65725,4960,5391,120,18740356,82899,226061599,33.68333333,73.05,Asia
30,Belgium,1217473,25494,1127982,63997,214,104499,2188,19385534,1663914,11650562,50.83333333,4.333333,Europe
31,Israel,1208403,7465,1117027,83911,654,129574,800,20314879,2178306,9326000,31.76666667,35.233333,Asia
32,Sweden,1143973,14711,1099562,29700,48,112426,1446,12167135,1195749,10175328,59.33333333,18.05,Europe
33,Romania,1135027,35286,1073552,26189,741,59480,1849,12125293,635416,19082444,44.43333333,26.1,Europe
34,Portugal,1059409,17888,1006356,35165,103,104265,1760,17806549,1752483,10160757,38.71666667,-9.133333,Europe
35,Morocco,913423,13775,872976,26672,884,24398,368,9447326,252342,37438534,34.01666667,-6.816667,Africa
36,Kazakhstan,854742,10611,779869,64262,221,44874,557,11575012,607684,19047747,51.16666667,71.416667,Asia
37,Serbia,846114,7664,748262,90188,156,97313,881,5342565,614455,8694808,44.83333333,20.5,Europe
38,Switzerland,820980,11010,733095,76875,261,94030,1261,10315436,1181465,8731058,46.91666667,7.466667,Europe
39,Hungary,816680,30118,779433,7129,40,84800,3127,6753395,701237,9630690,47.5,19.083333,Europe
40,Jordan,811463,10586,788398,12479,518,78589,1025,9706117,940022,10325411,31.95,35.933333,Asia
41,Nepal,781989,11002,745215,25772,,26269,370,4068591,136674,29768564,27.71666667,85.316667,Asia
